date,stock_id,price
2024-06-07,3,1475.15
2024-06-06,3,1437.4
2024-06-05,3,1400
2024-06-04,3,1359.1
2024-06-03,3,1404
2024-05-31,3,1400
2024-05-30,3,1421.7
2024-05-29,3,1448.7
2024-05-28,3,1461
2024-05-27,3,1460.5
2024-05-24,3,1459.15
2024-05-23,3,1451.9
2024-05-22,3,1429.5
2024-05-21,3,1428.75
2024-05-18,3,1442.1
2024-05-17,3,1439.5
2024-05-16,3,1428
2024-05-15,3,1419
2024-05-14,3,1418
2024-05-13,3,1411.15
2024-05-10,3,1413.15
2024-05-09,3,1425
2024-05-08,3,1426.1
2024-05-07,3,1416
2024-05-06,3,1416.45
2024-05-03,3,1403.1
2024-05-02,3,1412
2024-04-30,3,1418.1
2024-04-29,3,1428.4
2024-04-26,3,1426.4
2024-04-25,3,1420
2024-04-24,3,1427.05
2024-04-23,3,1433.4
2024-04-22,3,1413.15
2024-04-19,3,1379.7
2024-04-18,3,1408
2024-04-16,3,1413.05
2024-04-15,3,1461
2024-04-12,3,1479.4
2024-04-10,3,1485
2024-04-09,3,1488
2024-04-08,3,1475
2024-04-05,3,1476.05
2024-04-04,3,1468.2
2024-04-03,3,1475
2024-04-02,3,1481.1
2024-04-01,3,1493
2024-03-28,3,1487.6
2024-03-27,3,1482
2024-03-26,3,1488
2024-03-22,3,1497.65
2024-03-21,3,1544
2024-03-20,3,1552.6
2024-03-19,3,1558.1
2024-03-18,3,1599
2024-03-15,3,1618.5
2024-03-14,3,1607.25
2024-03-13,3,1598.3
2024-03-12,3,1598.05
2024-03-11,3,1588
2024-03-07,3,1605
2024-03-06,3,1576.1
2024-03-05,3,1602.1
2024-03-04,3,1633.2
2024-03-01,3,1652
2024-02-29,3,1653.5
2024-02-28,3,1662.4
2024-02-27,3,1653
2024-02-26,3,1645
2024-02-23,3,1672
2024-02-22,3,1644.85
2024-02-21,3,1645.3
2024-02-20,3,1668.7
2024-02-19,3,1687.15
2024-02-16,3,1681.05
2024-02-15,3,1662
2024-02-14,3,1635.35
2024-02-13,3,1663.75
2024-02-12,3,1670.15
2024-02-09,3,1659.3
2024-02-08,3,1682.8
2024-02-07,3,1686.9
2024-02-06,3,1673.65
2024-02-05,3,1681
2024-02-02,3,1662.25
2024-02-01,3,1650.15
2024-01-31,3,1637.95
2024-01-30,3,1647.95
2024-01-29,3,1647.05
2024-01-25,3,1657.65
2024-01-24,3,1644.3
2024-01-23,3,1637.5
2024-01-22,3,1658.95
2024-01-20,3,1644.65
2024-01-19,3,1644.25
2024-01-18,3,1639.9
2024-01-17,3,1620
2024-01-16,3,1625.7
2024-01-15,3,1630.05
2024-01-12,3,1554.75
2024-01-11,3,1486.65
2024-01-10,3,1505.1
2024-01-09,3,1526.2
2024-01-08,3,1513.2
2024-01-05,3,1507.5
2024-01-04,3,1493.05
2024-01-03,3,1488.25
2024-01-02,3,1523
2024-01-01,3,1536.9
2023-12-29,3,1539.2
2023-12-28,3,1555
2023-12-27,3,1545.65
2023-12-26,3,1522.5
2023-12-22,3,1523.4
2023-12-21,3,1516.4
2023-12-20,3,1529.45
2023-12-19,3,1543.55
2023-12-18,3,1560.05
2023-12-15,3,1520.1
2023-12-14,3,1461.25
